trial_number,accuracy,conv1_filters,conv2_filters,lstm_hidden,dropout_cnn,dropout_fc,lr,batch_size,optimizer
0,0.5687650817398967,128,16,128,0.6000000000000001,0.2,0.030712957367580587,64,AdamW
1,0.6696709426573944,8,128,64,0.35000000000000003,0.35000000000000003,0.0024750993251539816,32,SGD
2,0.5012577297009181,8,16,512,0.15000000000000002,0.1,4.0692644040219196e-05,64,SGD
0,0.5046141383436704,256,128,2048,0.7,0.05,0.0017884428324217126,16,Adam
1,0.5018870563214342,16,64,64,0.15000000000000002,0.45,2.2554678278834928e-05,32,Adadelta
0,0.7883816014977182,8,64,64,0.25,0.3,0.014663194072224748,128,AdamW
1,0.5046141383436704,16,128,64,0.5,0.5,6.022881808844733e-05,64,Adadelta
2,0.7260842031102192,32,256,64,0.05,0.2,0.0006500977483065521,16,SGD
3,0.6765959103005068,128,512,256,0.25,0.1,1.8601902324036528e-05,128,Adam
4,0.7969808154331469,16,32,128,0.1,0.4,0.004239570928290374,16,Adam
5,0.5056627521759265,256,64,1024,0.2,0.2,0.010141765813871701,64,RMSprop
6,0.6610751590138175,32,16,64,0.35000000000000003,0.2,0.006816800433499928,32,Adadelta
7,0.5373254014430974,256,512,256,0.55,0.35000000000000003,0.00044062087067697596,64,Adadelta
8,0.691907149915628,16,16,512,0.45,0.25,0.00014847736681431527,16,RMSprop
9,0.5046141383436704,32,128,64,0.45,0.05,0.033632223049729494,16,AdamW
10,0.5425556729770843,32,64,64,0.1,0.45,2.1797513358135713e-05,128,AdamW
11,0.5054532405043585,16,32,512,0.55,0.05,0.020345911744018362,16,RMSprop
12,0.6598070065030418,64,32,256,0.2,0.45,0.00019697507403501987,64,Adam
13,0.7716111685025325,16,128,64,0.35000000000000003,0.15000000000000002,0.003282410723949038,32,RMSprop
14,0.6266757965203648,256,32,32,0.35000000000000003,0.3,1.2182733425810794e-05,64,RMSprop
15,0.5402648976915456,32,32,64,0.7,0.05,0.0017032158269827365,64,Adadelta
16,0.5014694842556201,8,16,128,0.7,0.45,5.963530399653739e-05,128,SGD
17,0.7953028749803748,128,128,512,0.6500000000000001,0.15000000000000002,0.001664132229127153,32,AdamW
18,0.6948805532796888,64,512,128,0.25,0.2,0.0015181088922135118,128,RMSprop
19,0.5320857625736689,32,16,512,0.6000000000000001,0.05,0.0010366416639950929,64,SGD
20,0.6648430707444921,8,64,128,0.25,0.45,5.097018269689799e-05,128,AdamW
